id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
22,Softwoods,"Hemlock, commercial western",Tsuga heterophylla and Abies spp,Canada,A.D.,30 planks,12.8,,465,0.41,0.067,358,83,20.6,337,10400,2040,337,0.094,0.032,175,0.174,0.048,175,0.69,0.178,324,47.4,11.18,358,2760,871,337,11.9,3.16,346,7.5,1.9,172,9.3,2.26,172
23,Softwoods,"Hemlock, western",Tsuga heterophylla,Canada,G.,43 planks,50,609,,0.41,0.049,538,52,9.7,517,8900,1440,500,0.079,0.021,264,0.173,0.079,264,0.61,0.153,449,25.4,4.65,538,2180,624,520,7.0,1.34,522,7.4,1.65,258,8.6,1.85,259
24,Softwoods,"Hemlock, western",Tsuga heterophylla,Canada,A.D.,21 planks,12,,513,0.45,0.054,252,97,17.5,237,11300,1970,237,0.108,0.031,126,0.142,0.047,126,0.76,0.168,230,55.8,9.32,252,3160,810,236,14.1,2.67,244,8.6,1.7,124,10.7,2.06,124
25,Softwoods,"Hemlock, western",Tsuga heterophylla,United Kingdom,G.,15,88,545,,0.36,0.042,422,41,7.3,122,6800,1490,122,0.072,0.021,45,0.168,0.082,45,0.56,0.182,117,19.7,3.48,422,2000,519,121,6.1,1.12,208,6.8,1.43,74,10.2,2.24,74
26,Softwoods,"Hemlock, western",Tsuga heterophylla,United Kingdom,A.D.,15,12,,433,0.38,0.042,408,76,14.7,125,8000,1760,125,0.083,0.029,52,0.09,0.037,52,0.56,0.159,116,41.3,7.64,408,2580,677,124,10.6,2.04,240,8.6,1.98,61,11.6,1.94,61
27,Softwoods,"Kauri, Fijian",Agathis vitiensis,Fiji,G.,6,32,673,,0.45,0.031,78,59,5.5,38,9700,1390,38,0.117,0.038,38,0.319,0.089,38,0.86,0.209,72,27.8,3.25,78,3470,495,50,7.5,1.15,154,6.8,1.44,74,9.1,1.44,74
28,Softwoods,"Kauri, Fijian",Agathis vitiensis,Fiji,A.D.,6,14.2,,545,0.48,0.042,69,94,12.2,31,11000,2340,31,0.08,0.034,31,0.083,0.038,31,0.66,0.188,64,47.4,6.71,69,3960,729,68,13.3,2.13,138,10.9,2.41,69,14.2,2.17,69
29,Softwoods,"Larch, Dunkeld (hybrid)",Larix eurolepis,United Kingdom,G.,5,102,577,,0.38,0.023,40,43,4.6,32,5900,990,32,0.077,0.023,32,0.228,0.044,32,0.69,0.105,32,19.2,1.78,40,2220,254,32,5.9,0.47,80,,,,,,
30,Softwoods,"Larch, Dunkeld (hybrid)",Larix eurolepis,United Kingdom,A.D.,5,13.4,,465,0.41,0.029,32,77,11.0,29,8500,1810,29,0.103,0.027,29,0.139,0.037,29,0.64,0.108,28,39.1,3.75,32,3160,496,29,11.6,1.24,64,,,,,,
31,Softwoods,"Larch, European",Larix decidua,United Kingdom,G.,77,66,673,,0.45,0.052,1152,53,8.5,493,7900,1850,493,0.094,0.033,493,0.272,0.099,390,0.86,0.209,448,24.3,4.08,1152,2450,425,848,6.9,1.04,1252,8.8,1.3,288,9.6,1.38,287
