id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
253,Hardwoods,Mchenga,Julbernardia globiflora,Tanzania,A.D.,1 tree and 8 logs,12,,961,0.86,0.064,136,147,21.8,43,15600,1820,43,0.125,0.039,43,0.279,0.08,43,1.12,0.253,33,80.7,9.1,102,10990,2720,98,20.5,2.5,70,16.5,3.96,32,16.8,4.71,32
254,Hardwoods,Mengkulang,Heritiera simplicifolia,Peninsular Malaysia,G.,2,61,801,,0.53,0.039,20,81,12.6,20,11700,810,20,,,,,,,0.86,0.188,20,39.8,6.14,20,4180,948,20,9.7,1.3,40,,,,,,
255,Hardwoods,Mengkulang,Heritiera simplicifolia,Peninsular Malaysia,A.D.,2,12.9,,657,0.59,0.042,19,117,8.2,19,13200,890,19,,,,,,,0.99,0.19,19,61.2,4.34,19,5070,956,19,13.6,1.71,38,,,,,,
256,Hardwoods,Mengkulang,Heritiera simplicifolia,Sabah,G.,5,62,753,,0.5,0.054,46,81,12.2,46,10700,1410,46,,,,,,,0.84,0.209,46,41.3,5.71,46,4230,859,46,8.5,1.74,92,,,,,,
257,Hardwoods,Mengkulang,Heritiera simplicifolia,Sabah,A.D.,5,12.8,,609,0.54,0.056,46,110,13.8,46,12000,1400,46,,,,,,,0.91,0.16,44,60.7,6.46,46,5870,1450,46,12.2,2.0,92,,,,,,
258,Hardwoods,"Meranti, light red",Shorea dasyphylla,Peninsular Malaysia,G.,2,56,609,,0.41,0.032,26,63,8.6,12,9700,950,12,0.074,0.017,12,0.166,0.026,6,0.66,0.075,5,32.0,2.89,24,2490,430,13,10.5,1.75,9,12.1,1.61,9,,,
259,Hardwoods,"Meranti, light red",Shorea dasyphylla,Peninsular Malaysia,A.D.,2,12,,481,0.43,0.043,35,88,8.0,19,10500,740,19,0.099,0.019,19,0.174,0.044,7,0.76,0.059,9,50.1,4.72,34,2800,700,11,14.0,2.56,6,14.9,2.76,6,,,
260,Hardwoods,Mgongo,Sclerocarya sp.,Tanzania,G.,2,81,657,,0.44,0.05,72,28,8.4,24,2400,750,17,0.132,0.067,24,0.201,0.057,24,,,,12.4,3.64,25,2670,554,24,6.0,1.62,24,9.1,2.22,11,11.0,2.23,11
261,Hardwoods,Mgongo,Sclerocarya sp.,Tanzania,A.D.,2,12,,561,0.5,0.08,35,53,12.9,14,3900,890,14,,,,,,,,,,35.1,6.56,35,4230,711,14,12.9,2.15,28,20.0,4.69,13,22.1,4.54,13
262,Hardwoods,Missanda,Erythrophleum sp.,Tanzania,G.,3,33,1362,,0.9,0.078,71,124,13.6,26,13300,1560,26,0.117,0.033,26,,,,1.07,0.12,20,71.2,12.29,25,10320,1608,21,16.7,2.43,20,20.1,2.32,10,22.9,2.51,10
263,Hardwoods,Missanda,Erythrophleum sp.,Tanzania,A.D.,3,12,,1025,0.92,0.082,26,162,15.3,12,15400,1990,12,0.142,0.037,12,0.283,0.076,12,0.86,0.111,12,97.2,13.85,26,12990,2211,12,24.0,3.65,28,16.5,3.05,12,20.7,2.43,12
264,Hardwoods,Mjombo,Brachystegia sp.,Tanzania,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Hardwoods,Mjombo,Brachystegia sp.,Tanzania,A.D.,7,12,,817,0.72,0.05,102,125,25.6,37,12500,1730,37,0.127,0.055,37,0.275,0.1,37,1.02,0.257,36,68.7,8.19,85,8760,1542,82,16.5,3.05,82,16.1,2.48,36,18.9,4.2,36
266,Hardwoods,Mora,Mora excelsa,Guyana and Trinidad,G.,10,59,1137,,0.76,0.038,255,94,7.7,53,14800,1450,57,0.085,0.021,57,0.215,0.065,18,0.86,0.089,27,49.4,7.27,218,7520,739,90,12.5,1.27,61,16.5,1.47,29,21.4,2.05,29
267,Hardwoods,Mora,Mora excelsa,Guyana and Trinidad,A.D.,24,12,,993,0.89,0.033,391,168,17.6,85,19200,1880,85,0.18,0.052,85,0.352,0.066,85,1.35,0.209,62,87.6,8.63,348,10940,1797,185,20.0,2.13,212,20.8,4.5,92,23.8,6.52,92
268,Hardwoods,Morabukea,Mora gonggrijpii,Guyana,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Hardwoods,Morabukea,Mora gonggrijpii,Guyana,A.D.,9,12,,1025,0.91,0.04,99,185,15.9,44,20500,1320,44,0.208,0.055,44,0.369,0.067,44,1.42,0.235,34,97.8,8.87,91,13120,1864,83,20.7,2.96,114,19.3,4.37,43,24.9,4.87,42
270,Hardwoods,Mtondo,Brachystegia spiciformis,Tanzania,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Hardwoods,Mtondo,Brachystegia spiciformis,Tanzania,A.D.,8,12,,817,0.73,0.037,95,125,16.6,36,13400,1230,36,0.136,0.052,36,0.364,0.097,36,1.09,0.193,36,68.5,7.34,87,8140,1127,80,16.3,2.03,104,15.8,2.61,47,14.5,3.37,47
272,Hardwoods,Mubura,Parinari excelsa,Uganda,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Hardwoods,Mubura,Parinari excelsa,Uganda,A.D.,5,12,,753,0.68,0.06,145,123,13.6,31,13400,1870,31,0.103,0.034,31,0.203,0.08,31,0.81,0.193,31,65.6,6.04,145,7650,1696,106,18.2,3.19,108,14.0,3.81,50,27.0,4.62,50
274,Hardwoods,Muchenche,Newtonia buchanani,Uganda,G.,6,91,705,,0.47,0.065,95,68,12.2,40,9000,1930,40,0.077,0.028,24,0.169,0.074,24,0.66,0.176,43,32.8,6.81,95,4360,1333,40,9.4,1.93,48,12.3,1.72,26,18.4,3.88,26
275,Hardwoods,Muchenche,Newtonia buchanani,Uganda,A.D.,6,12,,561,0.5,0.073,93,97,12.9,30,9900,1100,30,0.103,0.033,18,0.214,0.078,18,0.71,0.242,42,50.1,8.9,93,4630,1131,30,14.0,3.23,48,11.4,1.68,24,17.2,4.46,24
276,Hardwoods,Mueri,Pygeum africanum,Kenya,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Hardwoods,Mueri,Pygeum africanum,Kenya,A.D.,6 planks,12,,785,0.7,0.029,27,122,13.2,18,11300,1330,18,0.132,0.035,18,0.279,0.074,18,,,,63.0,6.83,16,8270,1064,23,16.2,7.07,5,22.9,2.53,9,,,
278,Hardwoods,Mugongo,Ricinodendron rautanenii,Zimbabwe,G.,6 planks,238,224,,0.15,0.017,11,14,1.1,3,1800,280,3,0.015,0.004,3,0.028,0.007,3,,,,5.9,0.75,6,530,75,6,,,,,,,,,
279,Hardwoods,Mugongo,Ricinodendron rautanenii,Zimbabwe,A.D.,6 planks,12,,176,0.16,0.013,17,17,1.6,3,1900,220,3,0.015,0.004,3,0.022,,2,,,,10.5,1.25,5,620,72,6,,,,,,,,,
280,Hardwoods,Muhimbi,Cynometra alexandri,Uganda,G.,3,46,1121,,0.74,0.04,138,94,17.1,50,9900,1610,50,0.098,0.034,50,0.228,0.094,50,1.12,0.277,48,48.5,8.32,40,7740,985,50,15.1,1.33,4,20.5,3.04,18,26.3,2.84,18
281,Hardwoods,Muhimbi,Cynometra alexandri,Uganda,A.D.,3,12,,865,0.77,0.041,63,151,24.6,29,14100,2160,29,0.197,0.068,8,0.321,0.108,8,1.04,0.325,27,71.7,7.02,63,11300,1218,29,22.9,1.94,26,14.7,2.91,13,17.9,3.64,13
282,Hardwoods,Muhuhu,Brachylaena hutchinsii,Tanzania,G.,9,31,1153,,0.77,0.043,124,92,22.6,42,8600,2000,42,0.088,0.032,22,0.185,0.061,22,0.69,0.223,43,53.6,7.08,124,8360,990,42,17.4,1.54,40,18.9,2.34,20,19.6,3.56,20
283,Hardwoods,Muhuhu,Brachylaena hutchinsii,Tanzania,A.D.,9,12,,881,0.79,0.051,123,112,25.5,44,10100,2070,44,0.093,0.029,23,0.131,0.049,23,0.56,0.201,46,70.3,9.31,123,9740,1243,44,23.4,2.51,60,13.1,3.04,28,18.4,2.91,28
284,Hardwoods,Mukeo,Dombeya sp.,East Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Hardwoods,Mukeo,Dombeya sp.,East Africa,A.D.,11 planks,12,,577,0.51,0.042,11,101,11.2,11,11700,970,11,0.13,0.019,11,0.171,0.029,11,,,,50.2,5.65,8,4140,1196,9,13.1,2.61,10,10.5,3.38,3,15.2,2.29,3
286,Hardwoods,Mukulungu,Autranella congolensis,Central Africa,G.,6 pieces,42,1144,,0.76,0.016,65,109,8.4,41,14200,1040,41,0.113,0.026,21,0.214,0.026,21,1.24,0.115,36,55.8,3.33,65,8270,578,41,13.6,1.04,94,18.7,1.18,35,22.4,1.94,35
287,Hardwoods,Mukulungu,Autranella congolensis,Central Africa,A.D.,6 pieces,13.6,,914,0.82,0.02,53,149,8.8,31,16600,1280,31,0.163,0.031,22,0.313,0.053,22,1.15,0.126,28,70.4,6.8,53,12630,845,31,19.8,1.36,72,18.0,1.85,34,19.3,2.04,34
288,Hardwoods,Muninga,Pterocarpus angolensis,Tanzania,G.,3,64,881,,0.59,0.048,74,85,22.0,22,7600,1520,22,0.104,0.047,22,0.312,0.18,22,0.99,0.338,26,40.6,7.56,26,5780,1241,22,12.5,1.77,26,16.6,2.45,13,16.5,2.13,13
289,Hardwoods,Muninga,Pterocarpus angolensis,Tanzania,A.D.,3,12,,657,0.59,0.055,33,94,24.5,17,8400,810,17,0.093,0.046,17,0.167,0.084,17,0.74,0.29,16,57.1,6.92,33,6580,1400,17,15.7,2.92,24,12.6,2.0,12,13.5,1.6,12
290,Hardwoods,Musizi,Maesopsis eminii,Uganda,G.,1,165,609,,0.41,0.021,73,55,4.3,31,8100,530,31,0.062,0.016,31,0.117,0.095,12,0.69,0.095,15,28.5,2.54,72,3020,321,15,7.4,0.59,16,13.3,1.25,8,14.5,1.75,8
291,Hardwoods,Musizi,Maesopsis eminii,Uganda,A.D.,1,12,,481,0.43,0.013,72,76,7.5,19,9200,480,19,0.066,0.028,19,0.142,0.038,7,0.56,0.17,12,46.0,2.52,67,3110,316,16,10.7,0.65,22,10.9,0.99,11,13.3,0.83,11
292,Hardwoods,Nargusta,Terminalia amazonia,Belize and Trinidad,G.,7,67,961,,0.64,0.088,60,94,11.8,31,13000,1940,31,0.123,0.034,31,0.246,0.054,31,,,,46.1,8.3,56,6000,1941,23,12.5,1.81,32,17.3,3.71,15,21.4,2.87,15
293,Hardwoods,Nargusta,Terminalia amazonia,Belize and Trinidad,A.D.,7,12,,785,0.69,0.107,50,132,17.9,14,14700,2550,14,0.15,0.041,14,0.229,0.082,14,0.86,0.179,8,71.5,8.74,43,7740,2491,34,16.4,2.65,28,10.0,2.78,13,14.9,4.42,13
294,Hardwoods,Niangon,Tarrietia utilis,Ghana,G.,7,47,817,,0.54,0.054,429,70,10.8,143,8400,1390,143,0.081,0.029,142,0.22,0.071,142,0.71,0.187,147,36.5,3.46,139,4670,804,143,10.0,1.46,128,13.0,2.79,74,16.3,3.53,74
295,Hardwoods,Niangon,Tarrietia utilis,Ghana,A.D.,7,12,,625,0.56,0.058,431,90,13.0,151,9500,1410,151,0.083,0.029,40,0.161,0.042,40,0.58,0.153,133,51.7,5.98,147,4890,902,151,12.7,1.79,144,13.1,2.12,65,15.4,2.63,65
296,Hardwoods,Niove,Staudtia stipitata,Central Africa,G.,1,52,1139,,0.76,0.022,55,123,8.8,38,14200,1110,38,0.116,0.035,15,0.215,0.035,15,0.99,0.095,35,66.6,6.05,55,8580,769,38,16.6,3.99,78,14.0,1.41,28,29.4,2.6,28
297,Hardwoods,Niove,Staudtia stipitata,Central Africa,A.D.,1,11.6,,894,0.8,0.023,51,162,8.7,33,15800,920,33,0.149,0.02,15,0.193,0.021,15,0.97,0.114,30,86.7,4.61,51,11560,739,33,20.7,5.36,66,13.1,1.31,35,26.8,2.14,35
298,Hardwoods,"Oak, European",Quercus spp.,United Kingdom,G.,21,89,833,,0.56,0.044,1044,59,8.0,262,8300,1670,262,0.079,0.019,262,0.178,0.05,88,0.86,0.195,134,27.6,4.64,1044,4670,770,281,9.1,1.35,294,15.8,1.63,134,18.9,1.98,138
299,Hardwoods,"Oak, European",Quercus spp.,United Kingdom,A.D.,21,12,,689,0.61,0.055,665,97,16.8,102,10100,1960,102,0.093,0.026,102,0.167,0.051,43,0.84,0.209,61,51.6,7.98,665,5470,911,151,13.7,2.38,184,14.5,2.86,56,20.1,2.08,59
300,Hardwoods,"Oak, red",Quercus rubra,United Kingdom,G.,8,72,865,,0.57,0.034,40,72,7.9,40,10500,1280,40,0.192,0.073,40,0.488,0.108,40,1.55,0.236,40,28.7,2.79,40,5520,866,40,9.2,0.85,80,,,,,,
301,Hardwoods,"Oak, red",Quercus rubra,United Kingdom,A.D.,8,12,,705,0.64,0.04,40,123,14.4,40,12500,1130,40,0.211,0.065,40,0.473,0.153,40,1.45,0.378,40,57.4,4.63,49,7340,1072,40,17.0,2.18,80,,,,,,
302,Hardwoods,"Oak, Turkey",Quercus cerris,United Kingdom,G.,6,68,929,,0.62,0.029,156,70,9.7,64,10100,1960,64,0.157,0.054,29,0.43,0.091,29,1.3,0.38,55,28.5,4.56,156,6180,961,64,11.2,1.52,74,18.9,2.7,39,23.1,3.52,39
303,Hardwoods,"Oak, Turkey",Quercus cerris,United Kingdom,A.D.,6,12,,785,0.7,0.035,125,130,11.3,54,11200,1410,54,0.191,0.052,24,0.351,0.107,24,1.4,0.264,49,57.6,5.14,125,8270,819,57,19.1,2.03,68,20.5,4.42,30,24.9,5.23,30
304,Hardwoods,Obeche,Triplochiton scleroxylon,Nigeria,G.,2,76,465,,0.3,0.021,120,37,3.6,34,4600,480,34,0.052,0.012,34,0.122,0.027,12,0.61,0.064,19,18.5,1.75,62,1870,428,23,5.2,0.37,10,8.1,0.96,13,6.8,1.02,13
305,Hardwoods,Obeche,Triplochiton scleroxylon,Nigeria,A.D.,2,12,,368,0.32,0.024,120,54,6.4,25,5500,620,25,0.058,0.01,25,0.095,0.015,11,0.48,0.072,19,28.2,3.0,65,1910,268,22,7.7,0.67,10,9.3,1.82,16,8.4,1.58,16
306,Hardwoods,Odoko,Scottellia coriacea,Nigeria,G.,2,65,849,,0.56,0.011,14,83,3.0,12,11300,830,12,0.107,0.024,12,0.194,0.038,12,,,,38.6,2.65,14,4400,258,6,10.0,1.09,8,14.9,1.06,5,20.8,2.8,5
307,Hardwoods,Odoko,Scottellia coriacea,Nigeria,A.D.,2,12,,657,0.59,0.024,14,117,8.9,9,12800,1020,9,0.101,0.018,9,0.148,0.034,9,,,,63.6,5.54,14,4850,421,5,14.9,4.24,6,,,,22.6,,2
308,Hardwoods,Ogea,Daniellia ogea,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Hardwoods,Ogea,Daniellia ogea,West Africa,A.D.,3,12,,513,0.45,0.045,139,81,7.7,40,9100,780,40,0.084,0.025,40,0.135,0.054,40,0.56,0.116,35,41.6,4.78,121,3160,708,105,10.8,1.57,118,12.8,3.22,46,15.2,3.37,46
310,Hardwoods,Okan,Cylicodiscus gabunensis,Nigeria,G.,3,52,1185,,0.79,0.086,29,101,11.2,14,12800,1420,14,0.081,0.023,14,0.232,0.071,14,,,,56.7,10.64,19,11250,2452,19,16.6,2.47,17,24.5,6.98,9,24.9,5.23,10
311,Hardwoods,Okan,Cylicodiscus gabunensis,Nigeria,A.D.,3,12,,929,0.83,0.103,25,140,30.0,5,16100,2410,5,0.108,0.058,5,0.31,0.138,5,,,,85.4,10.94,20,12320,4668,10,22.3,4.06,10,17.7,2.32,4,23.8,5.8,4
312,Hardwoods,Okwen,Brachystegia nigerica,Nigeria,G.,5,69,865,,0.58,0.025,78,79,12.3,41,8800,1570,41,0.094,0.049,11,0.266,0.153,11,0.91,0.312,34,39.4,6.41,78,5430,708,40,11.9,1.59,40,13.5,3.29,23,17.9,2.76,23
313,Hardwoods,Okwen,Brachystegia nigerica,Nigeria,A.D.,5,12,,673,0.6,0.031,83,105,24.5,40,10500,1500,40,0.099,0.054,14,0.201,0.126,14,0.81,0.327,39,57.0,6.67,83,6360,846,40,18.3,1.34,28,13.5,1.75,13,18.0,2.2,13
314,Hardwoods,"Olive, East African",Olea hochstetteri,Sudan,G.,12,48,1121,,0.75,0.046,161,105,15.0,73,13700,2030,73,0.144,0.037,24,0.347,0.081,24,1.27,0.238,66,48.8,8.88,161,8180,976,73,16.5,2.42,82,20.0,2.24,37,28.2,2.54,37
315,Hardwoods,"Olive, East African",Olea hochstetteri,Sudan,A.D.,12,12,,913,0.82,0.052,163,174,24.0,68,17400,2360,68,0.211,0.06,23,0.499,0.138,23,1.32,0.274,70,84.1,9.09,163,12190,2024,64,25.6,3.5,90,21.5,4.23,46,28.9,3.82,46
316,Hardwoods,Opepe,Nauclea diderrichii,Nigeria,G.,4,75,945,,0.63,0.04,251,94,9.5,103,11900,1610,103,0.084,0.024,103,0.199,0.045,56,0.81,0.073,78,51.6,6.25,251,6760,945,104,13.1,1.85,124,17.3,2.15,54,19.8,2.24,54
317,Hardwoods,Opepe,Nauclea diderrichii,Nigeria,A.D.,4,12,,753,0.67,0.046,260,120,14.9,72,13400,1770,72,0.099,0.027,72,0.186,0.046,28,0.71,0.152,62,71.7,8.63,243,7250,1091,117,17.1,2.64,170,10.5,1.94,95,11.2,2.39,95
318,Hardwoods,Pau marfim,Balfourodendron riedelianum,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Hardwoods,Pau marfim,Balfourodendron riedelianum,Brazil,A.D.,30 pieces,12.9,,799,0.72,0.048,29,133,14.1,29,10800,1660,29,0.256,0.086,29,0.592,0.233,29,1.55,0.36,29,60.7,6.83,29,8320,1261,29,20.2,2.62,58,,,,,,
320,Hardwoods,"Peroba, white",Paratecoma peroba,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Hardwoods,"Peroba, white",Paratecoma peroba,Brazil,A.D.,11 planks,12,,753,0.67,0.063,63,112,21.4,20,11400,1760,20,0.085,0.032,20,0.232,0.097,20,0.81,0.263,25,63.8,9.83,63,7120,2044,55,16.7,1.97,48,15.2,2.48,23,18.6,2.64,23
322,Hardwoods,Peroba rosa,Aspidosperma spp,Brazil,G.,9 planks,35,993,,0.66,0.04,29,79,17.3,26,8300,1850,26,0.088,0.042,26,0.206,0.1,26,,,,39.8,7.78,29,7030,1133,29,14.7,2.09,58,16.5,3.48,29,20.8,4.27,29
323,Hardwoods,Peroba rosa,Aspidosperma spp,Brazil,A.D.,5 planks,12,,753,0.68,0.046,31,88,35.4,31,9900,2750,31,0.077,0.052,31,0.124,0.095,31,,,,56.9,10.16,31,7700,1301,26,19.5,2.1,32,10.9,1.99,16,11.2,2.23,16
324,Hardwoods,Pillarwood,Cassipourea malosana,Kenya,G.,5,65,897,,0.59,0.045,126,63,9.1,55,7900,1370,55,0.089,0.03,26,0.164,0.078,26,0.86,0.285,63,30.9,5.0,126,4400,695,54,10.0,2.43,78,16.3,2.34,41,27.1,4.04,41
325,Hardwoods,Pillarwood,Cassipourea malosana,Kenya,A.D.,5,12,,753,0.67,0.058,131,123,17.2,56,11500,2160,56,0.19,0.05,19,0.316,0.127,19,1.19,0.18,49,61.4,6.76,131,7340,1119,56,18.5,3.53,84,16.8,3.64,39,30.5,4.31,39
326,Hardwoods,"Plane, European",Platanus hybrida,United Kingdom,G.,1,87,785,,0.52,0.011,44,54,4.8,6,6400,670,6,0.124,0.036,6,0.281,0.043,6,1.24,0.137,5,24.2,1.2,43,4270,267,12,9.7,1.31,18,16.5,1.74,7,25.4,3.15,7
327,Hardwoods,"Plane, European",Platanus hybrida,United Kingdom,A.D.,1,12,,641,0.57,0.019,31,,,,,,,,,,,,,,,,41.6,1.57,30,5650,626,6,14.1,1.55,10,15.2,4.28,5,26.1,3.38,5
328,Hardwoods,"Poplar, black",Populus canadensis var. serotina,United Kingdom,G.,18,154,529,,0.35,0.022,659,41,5.5,111,6800,1160,111,0.074,0.019,108,0.21,0.072,69,0.61,0.115,73,19.3,3.23,659,2050,239,342,5.9,0.86,356,8.4,0.8,152,10.9,1.2,152
329,Hardwoods,"Poplar, black",Populus canadensis var. serotina,United Kingdom,A.D.,18,12,,433,0.38,0.024,761,72,7.1,92,8600,1320,92,0.083,0.024,92,0.143,0.046,43,0.56,0.082,374,37.4,5.38,761,2220,342,604,8.8,1.47,505,10.5,1.16,194,13.3,1.64,194
330,Hardwoods,"Poplar, grey",Populus canescens,United Kingdom,G.,6,102,577,,0.39,0.03,148,44,3.0,23,7200,990,23,0.074,0.024,23,0.168,0.068,23,0.51,0.051,16,20.1,1.85,128,1730,363,76,5.9,0.65,60,8.4,1.04,28,12.1,2.14,28
331,Hardwoods,"Poplar, grey",Populus canescens,United Kingdom,A.D.,6,12,,481,0.43,0.031,159,76,7.3,15,9500,830,15,0.099,0.02,15,0.168,0.057,15,0.61,0.084,15,36.9,3.08,129,2360,457,135,10.5,1.26,106,12.4,1.16,52,15.8,1.85,52
332,Hardwoods,"Pterygota, African",Pterygota bequaertii,Nigeria,G.,5,56,849,,0.56,0.044,484,73,14.5,162,8800,1890,165,0.113,0.053,163,0.345,0.119,38,0.81,0.232,155,35.4,6.34,164,3510,692,156,6.8,1.33,162,9.1,1.76,73,15.9,3.02,76
333,Hardwoods,"Pterygota, African",Pterygota bequaertii,Nigeria,A.D.,5,12,,689,0.62,0.047,497,111,22.6,162,11500,1720,162,0.133,0.049,162,0.248,0.081,161,0.97,0.22,170,57.9,8.63,165,4310,865,161,11.6,2.32,170,10.5,1.56,78,18.4,4.23,78
334,Hardwoods,"Pterygota, African",Pterygota macrocarpa,Nigeria,G.,5,84,705,,0.47,0.058,74,57,10.4,36,7400,1920,36,0.075,0.019,36,0.188,0.058,36,0.74,0.129,36,26.7,5.79,74,2980,684,37,6.1,0.88,72,8.1,1.01,37,12.3,2.38,37
335,Hardwoods,"Pterygota, African",Pterygota macrocarpa,Nigeria,A.D.,5,12,,561,0.5,0.064,75,85,15.7,37,9200,1610,37,0.101,0.028,37,0.149,0.049,37,0.76,0.198,37,43.4,7.06,75,4180,1186,37,9.4,1.33,74,8.1,1.05,36,11.4,1.74,36
336,Hardwoods,Purpleheart,Peltogyne sp,Guyana,G.,3,62,1105,,0.74,0.047,58,105,21.4,28,14000,2850,28,0.104,0.042,28,0.296,0.09,11,1.04,0.087,13,56.5,12.12,56,9160,964,15,14.9,1.2,13,19.8,2.59,8,22.6,5.82,7
337,Hardwoods,Purpleheart,Peltogyne sp,Guyana,A.D.,3,12,,865,0.77,0.046,53,147,35.8,9,16700,3320,9,0.139,0.06,9,0.345,0.114,7,1.19,0.354,6,78.5,14.6,46,11160,1819,13,18.9,1.7,13,20.5,2.95,7,27.0,4.16,7
338,Hardwoods,Quaruba,Vochysia hondurensis,Belize,G.,2,165,577,,0.38,0.027,37,43,6.3,9,6900,1210,9,0.038,0.007,9,0.092,0.026,9,0.51,0.059,6,22.1,3.23,33,2400,240,11,5.5,0.44,10,10.9,0.35,3,11.7,1.69,5
339,Hardwoods,Quaruba,Vochysia hondurensis,Belize,A.D.,2,12,,465,0.42,0.029,34,70,9.4,7,8200,1250,7,0.08,0.021,7,0.139,0.06,7,0.66,0.092,7,34.8,5.12,29,3110,396,12,8.8,1.44,16,11.7,1.06,5,12.4,2.51,5
340,Hardwoods,Quaruba,Vochysia sp.,Brazil,G.,10 planks,63,657,,0.44,0.046,38,55,8.5,30,8600,1340,30,0.069,0.013,30,0.118,0.024,30,,,,26.4,3.83,37,2710,479,17,6.4,1.18,16,10.5,2.99,7,12.1,3.36,7
341,Hardwoods,Quaruba,Vochysia sp.,Brazil,A.D.,10 planks,12,,513,0.46,0.05,40,90,8.5,27,11200,1330,27,0.088,0.011,27,0.139,0.019,27,,,,49.2,4.41,40,3560,759,33,10.6,1.68,36,7.7,2.68,18,10.9,2.01,18
342,Hardwoods,Ramin,Gonystylus macrophyllum,Sarawak,G.,9,37,785,,0.52,0.045,363,71,12.5,121,10100,1670,121,0.076,0.026,121,0.108,0.052,121,0.66,0.128,120,38.7,6.91,725,2850,120,120,7.8,1.61,116,6.8,1.46,58,10.2,2.71,58
343,Hardwoods,Ramin,Gonystylus macrophyllum,Sarawak,A.D.,9,12,,657,0.59,0.049,117,134,16.2,60,14000,1360,60,0.143,0.026,21,0.177,0.023,21,0.86,0.154,57,72.4,8.64,117,5780,1010,60,11.9,1.94,112,10.2,1.29,61,12.4,2.22,61
344,Hardwoods,Ranggu,Koordersiodendron pinnatum,Sabah,G.,5,53,1089,,0.72,0.04,35,108,11.8,35,13100,1130,35,,,,,,,1.09,0.186,35,56.1,6.14,35,7560,1036,35,12.5,1.64,70,,,,,,
345,Hardwoods,Ranggu,Koordersiodendron pinnatum,Sabah,A.D.,5,12.6,,881,0.79,0.047,37,154,15.2,32,15500,1570,32,,,,,,,1.37,0.205,35,77.3,6.24,37,8270,1507,36,19.7,2.68,74,,,,,,
346,Hardwoods,Rauli,Nothofagus procera,Chile,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Hardwoods,Rauli,Nothofagus procera,Chile,A.D.,15 planks,12,,577,0.51,0.041,74,92,11.6,32,9200,870,32,0.091,0.035,32,0.143,0.058,32,0.69,0.092,13,49.7,5.09,66,3560,638,64,13.4,1.71,68,15.8,2.29,30,17.3,2.55,30
348,Hardwoods,Rauli,Nothofagus procera,United Kingdom,G.,12,77,561,,0.37,0.035,46,43,8.5,13,5000,1340,13,0.128,0.058,13,0.208,0.075,13,0.74,0.184,11,16.8,2.68,46,2310,378,13,6.2,1.0,24,9.8,1.58,12,13.1,1.64,12
349,Hardwoods,Rauli,Nothofagus procera,United Kingdom,A.D.,12,12,,465,0.42,0.038,46,75,10.7,12,7000,1150,12,0.108,0.027,12,0.123,0.038,12,0.66,0.092,12,34.2,4.43,46,3070,611,12,11.8,1.83,26,15.6,3.01,11,17.2,3.27,11
350,Hardwoods,Rubberwood,Hevea brasiliensis,Peninsular Malaysia,G.,10 logs,54,865,,0.57,0.021,62,62,8.3,51,8200,1170,51,0.084,0.026,20,0.19,0.096,20,0.74,0.166,54,30.8,4.38,62,3600,484,55,9.8,1.31,112,,,,,,
351,Hardwoods,Rubberwood,Hevea brasiliensis,Peninsular Malaysia,A.D.,10 logs,12.6,,654,0.58,0.025,67,92,12.2,62,10500,1780,62,0.11,0.03,20,0.199,0.072,20,0.71,0.142,57,49.0,5.47,67,4800,617,66,13.4,1.75,130,,,,,,
